"Year","cbns","threshold","retirees","prop"
1973,40,-1.85,40,1
1974,43,-1.85,44,0.977272727272727
1975,37,-1.85,37,1
1976,34,-1.85,34,1
1977,60,-1.85,60,1
1978,35,-1.85,37,0.945945945945946
1979,45,-1.85,47,0.957446808510638
1980,44,-1.85,44,1
1981,37,-1.85,39,0.948717948717949
1982,44,-1.85,46,0.956521739130435
1983,39,-1.85,40,0.975
1984,39,-1.85,39,1
1985,51,-1.85,52,0.980769230769231
1986,32,-1.85,32,1
1987,27,-1.85,30,0.9
1988,32,-1.85,32,1
1989,37,-1.85,37,1
1990,47,-1.85,48,0.979166666666667
1991,45,-1.85,45,1
1992,42,-1.85,42,1
1993,53,-1.85,53,1
1994,33,-1.85,34,0.970588235294118
1995,44,-1.85,44,1
1996,44,-1.85,46,0.956521739130435
1997,35,-1.85,35,1
1998,40,-1.85,42,0.952380952380952
1999,47,-1.85,48,0.979166666666667
2000,53,-1.85,53,1
2001,53,-1.85,54,0.981481481481482
2002,38,-1.85,39,0.974358974358974
2003,39,-1.85,40,0.975
2004,45,-1.85,46,0.978260869565217
2005,30,-1.85,30,1
2006,42,-1.85,42,1
2007,42,-1.85,43,0.976744186046512
2008,40,-1.85,40,1
2009,45,-1.85,45,1
2010,47,-1.85,49,0.959183673469388
2011,51,-1.85,52,0.980769230769231
2012,46,-1.85,48,0.958333333333333
2013,40,-1.85,42,0.952380952380952
2014,46,-1.85,46,1
2015,53,-1.85,54,0.981481481481482
2016,61,-1.85,62,0.983870967741935
2017,72,-1.85,73,0.986301369863014
2018,62,-1.85,63,0.984126984126984
1969,35,-1.825,36,0.972222222222222
1970,42,-1.825,43,0.976744186046512
1971,39,-1.825,41,0.951219512195122
1972,52,-1.825,52,1
1973,40,-1.825,40,1
1974,43,-1.825,44,0.977272727272727
1975,37,-1.825,37,1
1976,34,-1.825,34,1
1977,60,-1.825,60,1
1978,35,-1.825,37,0.945945945945946
1979,45,-1.825,47,0.957446808510638
1980,44,-1.825,44,1
1981,37,-1.825,39,0.948717948717949
1982,44,-1.825,46,0.956521739130435
1983,39,-1.825,40,0.975
1984,39,-1.825,39,1
1985,51,-1.825,52,0.980769230769231
1986,32,-1.825,32,1
1987,27,-1.825,30,0.9
1988,32,-1.825,32,1
1989,37,-1.825,37,1
1990,47,-1.825,48,0.979166666666667
1991,45,-1.825,45,1
1992,42,-1.825,42,1
1993,53,-1.825,53,1
1994,33,-1.825,34,0.970588235294118
1995,44,-1.825,44,1
1996,44,-1.825,46,0.956521739130435
1997,34,-1.825,35,0.971428571428571
1998,40,-1.825,42,0.952380952380952
1999,47,-1.825,48,0.979166666666667
2000,53,-1.825,53,1
2001,53,-1.825,54,0.981481481481482
2002,38,-1.825,39,0.974358974358974
2003,39,-1.825,40,0.975
2004,45,-1.825,46,0.978260869565217
2005,30,-1.825,30,1
2006,42,-1.825,42,1
2007,42,-1.825,43,0.976744186046512
2008,40,-1.825,40,1
2009,45,-1.825,45,1
2010,47,-1.825,49,0.959183673469388
2011,51,-1.825,52,0.980769230769231
2012,46,-1.825,48,0.958333333333333
2013,38,-1.825,42,0.904761904761905
2014,46,-1.825,46,1
2015,53,-1.825,54,0.981481481481482
2016,61,-1.825,62,0.983870967741935
2017,72,-1.825,73,0.986301369863014
2018,62,-1.825,63,0.984126984126984
1969,35,-1.8,36,0.972222222222222
1970,42,-1.8,43,0.976744186046512
1971,39,-1.8,41,0.951219512195122
1972,52,-1.8,52,1
1973,40,-1.8,40,1
1974,43,-1.8,44,0.977272727272727
1975,37,-1.8,37,1
1976,34,-1.8,34,1
1977,58,-1.8,60,0.966666666666667
1978,35,-1.8,37,0.945945945945946
1979,45,-1.8,47,0.957446808510638
1980,44,-1.8,44,1
1981,37,-1.8,39,0.948717948717949
1982,44,-1.8,46,0.956521739130435
1983,39,-1.8,40,0.975
1984,39,-1.8,39,1
1985,51,-1.8,52,0.980769230769231
1986,32,-1.8,32,1
1987,27,-1.8,30,0.9
1988,32,-1.8,32,1
1989,37,-1.8,37,1
1990,47,-1.8,48,0.979166666666667
1991,45,-1.8,45,1
1992,42,-1.8,42,1
1993,53,-1.8,53,1
1994,33,-1.8,34,0.970588235294118
1995,44,-1.8,44,1
1996,44,-1.8,46,0.956521739130435
1997,34,-1.8,35,0.971428571428571
1998,40,-1.8,42,0.952380952380952
1999,47,-1.8,48,0.979166666666667
2000,53,-1.8,53,1
2001,53,-1.8,54,0.981481481481482
2002,38,-1.8,39,0.974358974358974
2003,39,-1.8,40,0.975
2004,45,-1.8,46,0.978260869565217
2005,30,-1.8,30,1
2006,42,-1.8,42,1
2007,42,-1.8,43,0.976744186046512
2008,39,-1.8,40,0.975
2009,45,-1.8,45,1
2010,47,-1.8,49,0.959183673469388
2011,51,-1.8,52,0.980769230769231
2012,46,-1.8,48,0.958333333333333
2013,38,-1.8,42,0.904761904761905
2014,46,-1.8,46,1
2015,53,-1.8,54,0.981481481481482
2016,61,-1.8,62,0.983870967741935
2017,72,-1.8,73,0.986301369863014
2018,62,-1.8,63,0.984126984126984
1969,34,-1.775,36,0.944444444444444
1970,42,-1.775,43,0.976744186046512
1971,39,-1.775,41,0.951219512195122
1972,52,-1.775,52,1
1973,40,-1.775,40,1
1974,43,-1.775,44,0.977272727272727
1975,37,-1.775,37,1
1976,34,-1.775,34,1
1977,58,-1.775,60,0.966666666666667
1978,35,-1.775,37,0.945945945945946
1979,45,-1.775,47,0.957446808510638
1980,44,-1.775,44,1
1981,37,-1.775,39,0.948717948717949
1982,44,-1.775,46,0.956521739130435
1983,39,-1.775,40,0.975
1984,39,-1.775,39,1
1985,51,-1.775,52,0.980769230769231
1986,32,-1.775,32,1
1987,27,-1.775,30,0.9
1988,32,-1.775,32,1
1989,37,-1.775,37,1
1990,46,-1.775,48,0.958333333333333
1991,45,-1.775,45,1
1992,42,-1.775,42,1
1993,53,-1.775,53,1
1994,33,-1.775,34,0.970588235294118
1995,44,-1.775,44,1
1996,44,-1.775,46,0.956521739130435
1997,34,-1.775,35,0.971428571428571
1998,40,-1.775,42,0.952380952380952
1999,47,-1.775,48,0.979166666666667
2000,53,-1.775,53,1
2001,52,-1.775,54,0.962962962962963
2002,38,-1.775,39,0.974358974358974
2003,39,-1.775,40,0.975
2004,45,-1.775,46,0.978260869565217
2005,30,-1.775,30,1
2006,42,-1.775,42,1
2007,42,-1.775,43,0.976744186046512
2008,39,-1.775,40,0.975
2009,45,-1.775,45,1
2010,47,-1.775,49,0.959183673469388
2011,51,-1.775,52,0.980769230769231
2012,46,-1.775,48,0.958333333333333
2013,38,-1.775,42,0.904761904761905
2014,46,-1.775,46,1
2015,53,-1.775,54,0.981481481481482
2016,61,-1.775,62,0.983870967741935
2017,72,-1.775,73,0.986301369863014
2018,62,-1.775,63,0.984126984126984
1969,34,-1.75,36,0.944444444444444
1970,42,-1.75,43,0.976744186046512
1971,39,-1.75,41,0.951219512195122
1972,52,-1.75,52,1
1973,40,-1.75,40,1
1974,43,-1.75,44,0.977272727272727
1975,37,-1.75,37,1
1976,34,-1.75,34,1
1977,58,-1.75,60,0.966666666666667
1978,35,-1.75,37,0.945945945945946
1979,45,-1.75,47,0.957446808510638
1980,44,-1.75,44,1
1981,37,-1.75,39,0.948717948717949
1982,42,-1.75,46,0.91304347826087
1983,39,-1.75,40,0.975
1984,38,-1.75,39,0.974358974358974
1985,51,-1.75,52,0.980769230769231
1986,32,-1.75,32,1
1987,27,-1.75,30,0.9
1988,32,-1.75,32,1
1989,37,-1.75,37,1
1990,46,-1.75,48,0.958333333333333
1991,45,-1.75,45,1
1992,42,-1.75,42,1
1993,53,-1.75,53,1
1994,33,-1.75,34,0.970588235294118
1995,44,-1.75,44,1
1996,44,-1.75,46,0.956521739130435
1997,34,-1.75,35,0.971428571428571
1998,40,-1.75,42,0.952380952380952
