"WAR","Year","above_threshold"
0.1,1976,FALSE
0.1,1976,FALSE
0,1980,FALSE
0,1980,FALSE
0,1979,FALSE
0,1978,FALSE
0,1978,FALSE
0,1977,FALSE
0,1977,FALSE
0,1977,FALSE
0,1977,FALSE
0,1977,FALSE
0,1977,FALSE
0,1976,FALSE
0,1976,FALSE
0,1976,FALSE
0,1976,FALSE
-0.1,1980,FALSE
-0.1,1980,FALSE
-0.1,1979,FALSE
-0.1,1979,FALSE
-0.1,1979,FALSE
-0.1,1978,FALSE
-0.1,1977,FALSE
-0.1,1977,FALSE
-0.2,1980,FALSE
-0.2,1979,FALSE
-0.2,1979,FALSE
-0.2,1978,FALSE
-0.2,1978,FALSE
-0.2,1978,FALSE
-0.2,1976,FALSE
-0.3,1980,FALSE
-0.3,1980,FALSE
-0.3,1979,FALSE
-0.3,1979,FALSE
-0.3,1978,FALSE
-0.3,1978,FALSE
-0.3,1978,FALSE
-0.3,1977,FALSE
-0.3,1977,FALSE
-0.3,1977,FALSE
-0.3,1977,FALSE
-0.3,1976,FALSE
-0.3,1976,FALSE
-0.4,1980,FALSE
-0.4,1980,FALSE
-0.4,1980,FALSE
-0.4,1980,FALSE
-0.4,1980,FALSE
-0.4,1979,FALSE
-0.4,1978,FALSE
-0.4,1978,FALSE
-0.4,1978,FALSE
-0.4,1977,FALSE
-0.4,1977,FALSE
-0.4,1977,FALSE
-0.4,1977,FALSE
-0.5,1980,FALSE
-0.5,1980,FALSE
-0.5,1980,FALSE
-0.5,1979,FALSE
-0.5,1979,FALSE
-0.5,1977,FALSE
-0.5,1977,FALSE
-0.5,1977,FALSE
-0.5,1977,FALSE
-0.5,1976,FALSE
-0.6,1980,FALSE
-0.6,1980,FALSE
-0.6,1977,FALSE
-0.6,1976,FALSE
-0.6,1976,FALSE
-0.7,1980,FALSE
-0.7,1980,FALSE
-0.7,1980,FALSE
-0.7,1979,FALSE
-0.7,1979,FALSE
-0.7,1979,FALSE
-0.7,1979,FALSE
-0.7,1977,FALSE
-0.7,1977,FALSE
-0.7,1976,FALSE
-0.7,1976,FALSE
-0.8,1980,FALSE
-0.8,1977,FALSE
-0.8,1976,FALSE
-0.8,1976,FALSE
-0.9,1979,FALSE
-0.9,1977,FALSE
-1,1978,FALSE
-1,1977,FALSE
-1,1976,FALSE
-1.1,1980,FALSE
-1.1,1978,FALSE
-1.2,1980,FALSE
-1.2,1978,FALSE
-1.2,1978,FALSE
-1.3,1979,FALSE
-1.3,1979,FALSE
-1.3,1978,FALSE
-1.4,1980,FALSE
-1.4,1980,FALSE
-1.6,1979,FALSE
-1.6,1977,FALSE
-3,1978,FALSE
2.8,1982,TRUE
1.9,1984,TRUE
1.6,1984,TRUE
1.6,1984,TRUE
1.1,1983,TRUE
1,1985,TRUE
0.9,1982,TRUE
0.7,1985,TRUE
0.7,1985,TRUE
0.7,1981,TRUE
0.6,1985,TRUE
0.6,1984,TRUE
0.6,1982,TRUE
0.5,1985,TRUE
0.5,1985,TRUE
0.5,1984,TRUE
0.5,1984,TRUE
0.5,1984,TRUE
0.5,1982,TRUE
0.4,1985,TRUE
0.3,1985,TRUE
0.3,1985,TRUE
0.3,1985,TRUE
0.3,1985,TRUE
0.3,1984,TRUE
0.3,1981,TRUE
0.2,1985,TRUE
0.2,1984,FALSE
0.2,1984,FALSE
0.2,1983,FALSE
0.2,1983,FALSE
0.2,1983,FALSE
0.2,1982,TRUE
0.2,1982,TRUE
0.2,1982,TRUE
0.1,1985,TRUE
0.1,1985,TRUE
0.1,1985,TRUE
0.1,1984,FALSE
0.1,1982,FALSE
0.1,1982,FALSE
0.1,1981,FALSE
0.1,1981,FALSE
0.1,1981,FALSE
0.1,1981,FALSE
0,1985,FALSE
0,1985,FALSE
0,1984,FALSE
0,1984,FALSE
0,1983,FALSE
-0.1,1985,FALSE
-0.1,1985,FALSE
-0.1,1984,FALSE
-0.1,1984,FALSE
-0.1,1984,FALSE
-0.1,1983,FALSE
-0.1,1983,FALSE
-0.1,1983,FALSE
-0.1,1983,FALSE
-0.1,1982,FALSE
-0.1,1981,FALSE
-0.1,1981,FALSE
-0.1,1981,FALSE
-0.1,1981,FALSE
-0.2,1985,FALSE
-0.2,1985,FALSE
-0.2,1983,FALSE
-0.2,1982,FALSE
-0.3,1985,FALSE
-0.3,1985,FALSE
-0.3,1985,FALSE
-0.3,1985,FALSE
-0.3,1984,FALSE
-0.3,1984,FALSE
-0.3,1984,FALSE
-0.3,1984,FALSE
-0.3,1983,FALSE
-0.3,1982,FALSE
-0.3,1982,FALSE
-0.3,1981,FALSE
-0.4,1985,FALSE
-0.4,1985,FALSE
-0.4,1985,FALSE
-0.4,1985,FALSE
-0.4,1984,FALSE
-0.4,1984,FALSE
-0.4,1983,FALSE
-0.4,1983,FALSE
-0.4,1982,FALSE
-0.4,1982,FALSE
-0.4,1981,FALSE
-0.4,1981,FALSE
-0.4,1981,FALSE
-0.5,1985,FALSE
-0.5,1985,FALSE
-0.5,1982,FALSE
-0.5,1982,FALSE
-0.5,1982,FALSE
-0.5,1981,FALSE
-0.5,1981,FALSE
-0.5,1981,FALSE
-0.6,1985,FALSE
-0.6,1985,FALSE
-0.6,1985,FALSE
-0.6,1984,FALSE
-0.6,1983,FALSE
-0.6,1983,FALSE
-0.6,1982,FALSE
-0.6,1982,FALSE
-0.6,1982,FALSE
-0.6,1981,FALSE
-0.7,1985,FALSE
-0.7,1984,FALSE
-0.7,1984,FALSE
-0.7,1984,FALSE
-0.7,1983,FALSE
-0.7,1981,FALSE
-0.8,1985,FALSE
-0.8,1985,FALSE
-0.8,1984,FALSE
-0.8,1984,FALSE
-0.8,1983,FALSE
-0.8,1982,FALSE
-0.8,1982,FALSE
-0.8,1981,FALSE
-0.8,1981,FALSE
-0.9,1982,FALSE
-0.9,1982,FALSE
-0.9,1981,FALSE
-1,1984,FALSE
-1.1,1985,FALSE
-1.1,1983,FALSE
-1.1,1981,FALSE
-1.2,1985,FALSE
-1.2,1983,FALSE
-1.3,1981,FALSE
-1.4,1985,FALSE
-1.6,1984,FALSE
-1.8,1984,FALSE
-2,1982,FALSE
2.4,1990,TRUE
1.9,1986,TRUE
1.3,1987,TRUE
1,1987,TRUE
0.9,1990,TRUE
0.9,1989,TRUE
0.9,1989,TRUE
0.9,1987,TRUE
0.9,1986,TRUE
0.9,1986,TRUE
0.7,1990,TRUE
0.7,1990,TRUE
0.7,1990,TRUE
0.6,1990,TRUE
0.6,1989,TRUE
0.6,1987,TRUE
0.6,1986,TRUE
0.5,1989,TRUE
0.5,1989,TRUE
0.5,1986,TRUE
0.4,1990,TRUE
0.4,1989,TRUE
0.4,1988,TRUE
0.4,1988,TRUE
0.4,1987,TRUE
0.4,1986,TRUE
0.3,1989,TRUE
0.3,1989,TRUE
0.3,1989,TRUE
0.3,1987,FALSE
0.3,1986,TRUE
0.2,1990,TRUE
0.2,1989,TRUE
0.2,1988,FALSE
0.2,1988,FALSE
0.2,1987,FALSE
0.2,1987,FALSE
0.2,1986,TRUE
0.1,1990,FALSE
0.1,1989,FALSE
0.1,1989,FALSE
0.1,1989,FALSE
0.1,1988,FALSE
