"coef_int","coef_yr","era","threshold","diff"
-1.07378045963226,0.000986899938138359,"pre",-1.175,0.000986899938138359
-2.83875473324377,0.00183944537110256,"post",-1.175,0.00183944537110256
-1.03531363405034,0.000961987263582244,"pre",-1.15,0.000961987263582244
-2.84150886871553,0.00183695565766538,"post",-1.15,0.00183695565766538
-0.916486740250683,0.000900009130069385,"pre",-1.125,0.000900009130069385
-2.4920292041931,0.00165854218794824,"post",-1.125,0.00165854218794824
-1.02776319677352,0.000953047306206018,"pre",-1.1,0.000953047306206018
-3.74424105439975,0.00227672288907887,"post",-1.1,0.00227672288907887
0.683723435893073,8.52754889105896e-05,"pre",-1.075,8.52754889105896e-05
-1.87080102047567,0.00134237653138631,"post",-1.075,0.00134237653138631
0.0626368837787153,0.000390067099124137,"pre",-1.05,0.000390067099124137
-2.24128754003063,0.00152094867048763,"post",-1.05,0.00152094867048763
-0.0451490851620417,0.000439811958456364,"pre",-1.025,0.000439811958456364
0.0123384031060624,0.000396782635352903,"post",-1.025,0.000396782635352903
-0.109135336100405,0.00046808293659522,"pre",-1,0.00046808293659522
-1.00018341813117,0.000897727254440247,"post",-1,0.000897727254440247
-0.220321604982757,0.000519379954552707,"pre",-0.975,0.000519379954552707
1.3700440875166,-0.000291199294594702,"post",-0.975,-0.000291199294594702
-0.0321406552202213,0.000418933125681424,"pre",-0.95,0.000418933125681424
5.57883632549937,-0.00239239971933665,"post",-0.95,-0.00239239971933665
-0.0243539868738634,0.000410065640308568,"pre",-0.925,0.000410065640308568
3.59948282476894,-0.00141158203341061,"post",-0.925,-0.00141158203341061
-0.532541675130612,0.000659369957211038,"pre",-0.9,0.000659369957211038
3.08820783491729,-0.00116444106903028,"post",-0.9,-0.00116444106903028
-0.184012134378927,0.000478693198431032,"pre",-0.875,0.000478693198431032
0.566245513049393,8.27002022528258e-05,"post",-0.875,8.27002022528258e-05
-0.780306075367804,0.000774774917667987,"pre",-0.85,0.000774774917667987
1.87784658870233,-0.000575144919601584,"post",-0.85,-0.000575144919601584
0.0828636759571456,0.000335015961512391,"pre",-0.825,0.000335015961512391
-3.97072749124799,0.00232268947208189,"post",-0.825,0.00232268947208189
-0.29611147948089,0.000521375554673761,"pre",-0.8,0.000521375554673761
-6.00641642270292,0.00333156655232575,"post",-0.8,0.00333156655232575
-0.141936031714334,0.000439208966405966,"pre",-0.775,0.000439208966405966
-0.057321618428576,0.000363013800876102,"post",-0.775,0.000363013800876102
-1.9193837152315,0.00132322375072084,"pre",-0.75,0.00132322375072084
2.88173564860549,-0.00111008313721474,"post",-0.75,-0.00111008313721474
-2.0532623820575,0.001383815511746,"pre",-0.725,0.001383815511746
-4.80604045706362,0.00270046310470429,"post",-0.725,0.00270046310470429
-2.20624448845151,0.00145585302266642,"pre",-0.7,0.00145585302266642
-3.48287443857394,0.00203657224125814,"post",-0.7,0.00203657224125814
-2.3999385114868,0.00154588157950523,"pre",-0.675,0.00154588157950523
1.20423806567475,-0.000300868840992818,"post",-0.675,-0.000300868840992818
-2.63939844225432,0.00165693616826679,"pre",-0.65,0.00165693616826679
-10.4125114200144,0.00546045315635177,"post",-0.65,0.00546045315635177
-2.91652856375419,0.00179209826675967,"pre",-0.625,0.00179209826675967
-12.0281269846751,0.00625895471789215,"post",-0.625,0.00625895471789215
-2.70043814822362,0.00167868656363469,"pre",-0.6,0.00167868656363469
-9.40062608922505,0.00494901951521487,"post",-0.6,0.00494901951521487
-1.67428738646698,0.00115256026118079,"pre",-0.575,0.00115256026118079
-5.82521151822233,0.0031632525564891,"post",-0.575,0.0031632525564891
-2.19595272950672,0.0014095285154652,"pre",-0.55,0.0014095285154652
-14.4569587031367,0.00743865504521845,"post",-0.55,0.00743865504521845
-3.06904005223265,0.00184157127374497,"pre",-0.525,0.00184157127374497
-10.9357480833169,0.00568076398642259,"post",-0.525,0.00568076398642259
-3.60532633251673,0.00210451440677256,"pre",-0.5,0.00210451440677256
-8.96819462814036,0.00469725101601704,"post",-0.5,0.00469725101601704
-3.19833811331667,0.00189363260564828,"pre",-0.475,0.00189363260564828
-6.3126813311271,0.00336073749868333,"post",-0.475,0.00336073749868333
