"Year","cbns","threshold","retirees","prop","labShare"
2012,34,-0.65,56,0.607142857142857,0.449649892509522
2013,24,-0.65,57,0.421052631578947,0.439211647634791
2014,24,-0.65,57,0.421052631578947,0.435821365499166
2015,22,-0.65,58,0.379310344827586,0.43622941143237
2016,27,-0.65,60,0.45,0.409966600951374
2017,36,-0.65,69,0.521739130434783,0.418498396664982
2018,38,-0.65,62,0.612903225806452,0.386337910160015
1969,19,-0.6,32,0.59375,NA
1970,21,-0.6,35,0.6,NA
1971,21,-0.6,44,0.477272727272727,NA
1972,23,-0.6,49,0.469387755102041,NA
1973,25,-0.6,41,0.609756097560976,NA
1974,22,-0.6,45,0.488888888888889,NA
1975,18,-0.6,36,0.5,NA
1976,17,-0.6,33,0.515151515151515,NA
1977,19,-0.6,55,0.345454545454545,NA
1978,16,-0.6,35,0.457142857142857,NA
1979,21,-0.6,42,0.5,NA
1980,18,-0.6,45,0.4,NA
1981,13,-0.6,37,0.351351351351351,NA
1982,14,-0.6,38,0.368421052631579,NA
1983,16,-0.6,35,0.457142857142857,NA
1984,22,-0.6,41,0.536585365853659,NA
1985,25,-0.6,55,0.454545454545455,NA
1986,27,-0.6,47,0.574468085106383,NA
1987,11,-0.6,36,0.305555555555556,NA
1988,16,-0.6,36,0.444444444444444,NA
1989,25,-0.6,46,0.543478260869565,0.33758481910705
1990,22,-0.6,51,0.431372549019608,0.431778818449729
1991,24,-0.6,43,0.558139534883721,0.495007544834554
1992,22,-0.6,45,0.488888888888889,0.482754684699915
1993,33,-0.6,44,0.75,0.524562099585062
1994,16,-0.6,38,0.421052631578947,0.625368337468983
1995,30,-0.6,47,0.638297872340426,0.484613925941966
1996,21,-0.6,38,0.552631578947368,0.479118765231519
1997,16,-0.6,36,0.444444444444444,0.45452346074419
1998,22,-0.6,52,0.423076923076923,0.511022112875278
1999,34,-0.6,49,0.693877551020408,0.530674658547331
2000,29,-0.6,52,0.557692307692308,0.54782076862964
2001,42,-0.6,67,0.626865671641791,0.554403209748083
2002,21,-0.6,46,0.456521739130435,0.548701253481176
2003,19,-0.6,44,0.431818181818182,0.485187618411806
2004,18,-0.6,49,0.36734693877551,0.463107309951405
2005,17,-0.6,44,0.386363636363636,0.455235117393856
2006,21,-0.6,50,0.42,0.451209507560576
2007,26,-0.6,65,0.4,0.46166582883657
2008,30,-0.6,53,0.566037735849057,0.450219598847067
2009,16,-0.6,48,0.333333333333333,0.444940799250448
2010,17,-0.6,51,0.333333333333333,0.438144565340462
2011,18,-0.6,58,0.310344827586207,0.431941420681551
2012,32,-0.6,56,0.571428571428571,0.449649892509522
2013,24,-0.6,57,0.421052631578947,0.439211647634791
2014,22,-0.6,57,0.385964912280702,0.435821365499166
2015,17,-0.6,58,0.293103448275862,0.43622941143237
2016,24,-0.6,60,0.4,0.409966600951374
2017,33,-0.6,69,0.478260869565217,0.418498396664982
2018,31,-0.6,62,0.5,0.386337910160015
1969,16,-0.55,32,0.5,NA
1970,18,-0.55,35,0.514285714285714,NA
1971,21,-0.55,44,0.477272727272727,NA
1972,19,-0.55,49,0.387755102040816,NA
1973,22,-0.55,41,0.536585365853659,NA
1974,16,-0.55,45,0.355555555555556,NA
1975,18,-0.55,36,0.5,NA
1976,16,-0.55,33,0.484848484848485,NA
1977,19,-0.55,55,0.345454545454545,NA
1978,16,-0.55,35,0.457142857142857,NA
1979,19,-0.55,42,0.452380952380952,NA
1980,18,-0.55,45,0.4,NA
1981,13,-0.55,37,0.351351351351351,NA
1982,12,-0.55,38,0.315789473684211,NA
1983,16,-0.55,35,0.457142857142857,NA
1984,18,-0.55,41,0.439024390243902,NA
1985,23,-0.55,55,0.418181818181818,NA
1986,27,-0.55,47,0.574468085106383,NA
1987,10,-0.55,36,0.277777777777778,NA
1988,15,-0.55,36,0.416666666666667,NA
1989,22,-0.55,46,0.478260869565217,0.33758481910705
1990,22,-0.55,51,0.431372549019608,0.431778818449729
1991,24,-0.55,43,0.558139534883721,0.495007544834554
1992,22,-0.55,45,0.488888888888889,0.482754684699915
1993,29,-0.55,44,0.659090909090909,0.524562099585062
1994,16,-0.55,38,0.421052631578947,0.625368337468983
1995,29,-0.55,47,0.617021276595745,0.484613925941966
1996,21,-0.55,38,0.552631578947368,0.479118765231519
1997,13,-0.55,36,0.361111111111111,0.45452346074419
1998,22,-0.55,52,0.423076923076923,0.511022112875278
1999,30,-0.55,49,0.612244897959184,0.530674658547331
2000,26,-0.55,52,0.5,0.54782076862964
2001,37,-0.55,67,0.552238805970149,0.554403209748083
2002,21,-0.55,46,0.456521739130435,0.548701253481176
2003,19,-0.55,44,0.431818181818182,0.485187618411806
2004,15,-0.55,49,0.306122448979592,0.463107309951405
2005,15,-0.55,44,0.340909090909091,0.455235117393856
2006,15,-0.55,50,0.3,0.451209507560576
2007,22,-0.55,65,0.338461538461538,0.46166582883657
2008,23,-0.55,53,0.433962264150943,0.450219598847067
2009,15,-0.55,48,0.3125,0.444940799250448
2010,15,-0.55,51,0.294117647058824,0.438144565340462
2011,17,-0.55,58,0.293103448275862,0.431941420681551
2012,29,-0.55,56,0.517857142857143,0.449649892509522
2013,19,-0.55,57,0.333333333333333,0.439211647634791
2014,17,-0.55,57,0.298245614035088,0.435821365499166
2015,17,-0.55,58,0.293103448275862,0.43622941143237
2016,21,-0.55,60,0.35,0.409966600951374
2017,32,-0.55,69,0.463768115942029,0.418498396664982
2018,26,-0.55,62,0.419354838709677,0.386337910160015
1969,16,-0.5,32,0.5,NA
1970,17,-0.5,35,0.485714285714286,NA
