"coef","model","threshold"
-0.00035872619321786,"year",1.15
0.0811859866216306,"labor",1.15
0.000643947603573583,"year",1.2
-0.170945607840113,"labor",1.2
0.000643947603573583,"year",1.25
-0.170945607840113,"labor",1.25
0.00044653116801673,"year",1.3
-0.0997069732952874,"labor",1.3
0.000182655456441778,"year",1.35
0.00125216120476697,"labor",1.35
-9.44118922368238e-05,"year",1.4
0.0424239858883471,"labor",1.4
-0.000401388131008195,"year",1.45
0.0337189195350153,"labor",1.45
-0.000401388131008195,"year",1.5
0.0337189195350153,"labor",1.5
-0.000372553067571055,"year",1.55
0.0409715536288767,"labor",1.55
-0.000214182026847073,"year",1.6
0.00114890307159601,"labor",1.6
-0.00023953699642111,"year",1.65
0.0209778146183566,"labor",1.65
0.00012811006240242,"year",1.7
-0.0194689543846198,"labor",1.7
0.00012811006240242,"year",1.75
-0.0194689543846198,"labor",1.75
0.00012811006240242,"year",1.8
-0.0194689543846198,"labor",1.8
0.000220021827108302,"year",1.85
-0.0295711049866714,"labor",1.85
-8.17289905802674e-06,"year",1.9
-0.019040754034965,"labor",1.9
8.37388656478556e-05,"year",1.95
-0.0291429046370166,"labor",1.95
8.37388656478556e-05,"year",2
-0.0291429046370166,"labor",2
